disorder,prop_disorder,n_agents,p,s,m,n,dict_get_mode,dict_return_mode,avg_demand,avg_util,max_prop_disorder,max_disorder,scenario,run_time,single_stack_disorder
0,0.0,1000,0.0,3,20,0,{'random': 1},{'random': 1},27.77777777777778,1.0,0.0,0.0,random,2.648190975189209,
0,0.0,1000,0.0,3,20,0,{'random': 1},{'random': 1},27.77777777777778,1.0,0.0,0.0,random,2.648190975189209,
0,0.0,1000,0.0,3,20,0,{'random': 1},{'random': 1},27.77777777777778,1.0,0.0,0.0,random,2.648190975189209,
0,0.0,1000,0.0,3,20,0,{'random': 1},{'random': 1},27.77777777777778,1.0,0.0,0.0,random,2.648190975189209,
0,0.0,1000,0.0,3,40,0,{'random': 1},{'random': 1},27.77777777777778,1.0,0.0,0.0,random,0.41131091117858887,
0,0.0,1000,0.0,3,40,0,{'random': 1},{'random': 1},27.77777777777778,1.0,0.0,0.0,random,0.41131091117858887,
0,0.0,1000,0.0,3,40,0,{'random': 1},{'random': 1},27.77777777777778,1.0,0.0,0.0,random,0.41131091117858887,
0,0.0,1000,0.0,3,40,0,{'random': 1},{'random': 1},27.77777777777778,1.0,0.0,0.0,random,0.41131091117858887,
0,0.0,1000,0.0,3,60,0,{'random': 1},{'random': 1},27.77777777777778,1.0,0.0,0.0,random,0.44548487663269043,
0,0.0,1000,0.0,3,60,0,{'random': 1},{'random': 1},27.77777777777778,1.0,0.0,0.0,random,0.44548487663269043,
0,0.0,1000,0.0,3,60,0,{'random': 1},{'random': 1},27.77777777777778,1.0,0.0,0.0,random,0.44548487663269043,
0,0.0,1000,0.0,3,60,0,{'random': 1},{'random': 1},27.77777777777778,1.0,0.0,0.0,random,0.44548487663269043,
0,0.0,1000,0.01,3,20,0,{'random': 1},{'random': 1},27.77777777777778,1.0,0.006666666666666665,0.3999999999999999,random,0.4551727771759033,
0,0.0,1000,0.01,3,20,0,{'random': 1},{'random': 1},27.77777777777778,1.0,0.006666666666666665,0.3999999999999999,random,0.4551727771759033,
0,0.0,1000,0.01,3,20,0,{'random': 1},{'random': 1},27.77777777777778,1.0,0.006666666666666665,0.3999999999999999,random,0.4551727771759033,
0,0.0,1000,0.01,3,20,0,{'random': 1},{'random': 1},27.77777777777778,1.0,0.006666666666666665,0.3999999999999999,random,0.4551727771759033,
0,0.0,1000,0.01,3,40,0,{'random': 1},{'random': 1},27.77777777777778,1.0,0.006666666666666665,0.7999999999999998,random,0.41008973121643066,
0,0.0,1000,0.01,3,40,0,{'random': 1},{'random': 1},27.77777777777778,1.0,0.006666666666666665,0.7999999999999998,random,0.41008973121643066,
0,0.0,1000,0.01,3,40,0,{'random': 1},{'random': 1},27.77777777777778,1.0,0.006666666666666665,0.7999999999999998,random,0.41008973121643066,
0,0.0,1000,0.01,3,40,0,{'random': 1},{'random': 1},27.77777777777778,1.0,0.006666666666666665,0.7999999999999998,random,0.41008973121643066,
1,0.005555555555555556,1000,0.01,3,60,1,{'random': 1},{'random': 1},27.77777777777778,9.25925925925926,0.006666666666666665,1.1999999999999997,random,0.4465982913970947,
1,0.005555555555555556,1000,0.01,3,60,1,{'random': 1},{'random': 1},27.77777777777778,9.25925925925926,0.006666666666666665,1.1999999999999997,random,0.4465982913970947,
1,0.005555555555555556,1000,0.01,3,60,1,{'random': 1},{'random': 1},27.77777777777778,9.25925925925926,0.006666666666666665,1.1999999999999997,random,0.4465982913970947,
1,0.005555555555555556,1000,0.01,3,60,1,{'random': 1},{'random': 1},27.77777777777778,9.25925925925926,0.006666666666666665,1.1999999999999997,random,0.4465982913970947,
0,0.0,1000,0.02,3,20,0,{'random': 1},{'random': 1},27.77777777777778,1.0,0.01333333333333333,0.7999999999999998,random,0.40610170364379883,
0,0.0,1000,0.02,3,20,0,{'random': 1},{'random': 1},27.77777777777778,1.0,0.01333333333333333,0.7999999999999998,random,0.40610170364379883,
0,0.0,1000,0.02,3,20,0,{'random': 1},{'random': 1},27.77777777777778,1.0,0.01333333333333333,0.7999999999999998,random,0.40610170364379883,
0,0.0,1000,0.02,3,20,0,{'random': 1},{'random': 1},27.77777777777778,1.0,0.01333333333333333,0.7999999999999998,random,0.40610170364379883,
1,0.008333333333333333,1000,0.02,3,40,1,{'random': 1},{'random': 1},27.77777777777778,9.25925925925926,0.01333333333333333,1.5999999999999996,random,0.4842977523803711,
2,0.016666666666666666,1000,0.02,3,40,1,{'random': 1},{'random': 1},27.77777777777778,9.25925925925926,0.01333333333333333,1.5999999999999996,random,0.4842977523803711,
