disorder,prop_disorder,n_agents,p,s,m,n,dict_get_mode,dict_return_mode,avg_demand,avg_util,max_prop_disorder,max_disorder,scenario,run_time
0,0.0,0,0.0,3,60,0,{'random': 1},{'random': 1},0.0,1.0,0.0,0.0,random,0.01795220375061035
0,0.0,0,0.0,3,60,0,{'random': 1},{'random': 1},0.0,1.0,0.0,0.0,random,0.01795220375061035
1,0.016666666666666666,27,0.05,3,20,1,{'random': 1},{'random': 1},0.75,0.25,0.03333333333333334,2.0000000000000004,random,0.06884527206420898
1,0.016666666666666666,27,0.05,3,20,1,{'random': 1},{'random': 1},0.75,0.25,0.03333333333333334,2.0000000000000004,random,0.06884527206420898
1,0.016666666666666666,27,0.05,3,20,1,{'random': 1},{'random': 1},0.75,0.25,0.03333333333333334,2.0000000000000004,random,0.06884527206420898
1,0.016666666666666666,27,0.05,3,20,1,{'random': 1},{'random': 1},0.75,0.25,0.03333333333333334,2.0000000000000004,random,0.06884527206420898
1,0.016666666666666666,54,0.05,3,20,1,{'random': 1},{'random': 1},1.5,0.5,0.03333333333333334,2.0000000000000004,random,0.08574128150939941
0,0.0,54,0.05,3,20,1,{'random': 1},{'random': 1},1.5,0.5,0.03333333333333334,2.0000000000000004,random,0.08574128150939941
1,0.016666666666666666,54,0.05,3,20,1,{'random': 1},{'random': 1},1.5,0.5,0.03333333333333334,2.0000000000000004,random,0.08574128150939941
0,0.0,54,0.05,3,20,1,{'random': 1},{'random': 1},1.5,0.5,0.03333333333333334,2.0000000000000004,random,0.08574128150939941
1,0.016666666666666666,81,0.05,3,20,1,{'random': 1},{'random': 1},2.25,0.75,0.03333333333333334,2.0000000000000004,random,0.09777712821960449
1,0.016666666666666666,81,0.05,3,20,1,{'random': 1},{'random': 1},2.25,0.75,0.03333333333333334,2.0000000000000004,random,0.09777712821960449
1,0.016666666666666666,81,0.05,3,20,1,{'random': 1},{'random': 1},2.25,0.75,0.03333333333333334,2.0000000000000004,random,0.09777712821960449
1,0.016666666666666666,81,0.05,3,20,1,{'random': 1},{'random': 1},2.25,0.75,0.03333333333333334,2.0000000000000004,random,0.09777712821960449
0,0.0,108,0.05,3,20,1,{'random': 1},{'random': 1},3.0,1.0,0.03333333333333334,2.0000000000000004,random,0.1316089630126953
2,0.03333333333333333,108,0.05,3,20,1,{'random': 1},{'random': 1},3.0,1.0,0.03333333333333334,2.0000000000000004,random,0.1316089630126953
1,0.016666666666666666,108,0.05,3,20,1,{'random': 1},{'random': 1},3.0,1.0,0.03333333333333334,2.0000000000000004,random,0.1316089630126953
0,0.0,108,0.05,3,20,1,{'random': 1},{'random': 1},3.0,1.0,0.03333333333333334,2.0000000000000004,random,0.1316089630126953
4,0.03333333333333333,54,0.05,3,40,2,{'random': 1},{'random': 1},1.5,0.25,0.03333333333333334,4.000000000000001,random,0.09072661399841309
2,0.016666666666666666,54,0.05,3,40,2,{'random': 1},{'random': 1},1.5,0.25,0.03333333333333334,4.000000000000001,random,0.09072661399841309
2,0.016666666666666666,54,0.05,3,40,2,{'random': 1},{'random': 1},1.5,0.25,0.03333333333333334,4.000000000000001,random,0.09072661399841309
2,0.016666666666666666,54,0.05,3,40,2,{'random': 1},{'random': 1},1.5,0.25,0.03333333333333334,4.000000000000001,random,0.09072661399841309
0,0.0,108,0.05,3,40,2,{'random': 1},{'random': 1},3.0,0.5,0.03333333333333334,4.000000000000001,random,0.13865900039672852
