disorder,prop_disorder,n_agents,p,s,m,n,dict_get_mode,dict_return_mode,avg_demand,avg_util,max_prop_disorder,max_disorder,scenario,run_time,single_stack_disorder
0,0.0,0,0.25,3,20,5,{'random': 1},{'random': 1},0.0,0.0,0.16666666666666666,10.0,random,2.358830213546753,
0,0.0,0,0.25,3,20,5,{'random': 1},{'random': 1},0.0,0.0,0.16666666666666666,10.0,random,2.358830213546753,
0,0.0,0,0.25,3,20,5,{'random': 1},{'random': 1},0.0,0.0,0.16666666666666666,10.0,random,2.358830213546753,
0,0.0,0,0.25,3,20,5,{'random': 1},{'random': 1},0.0,0.0,0.16666666666666666,10.0,random,2.358830213546753,
5,0.08333333333333333,27,0.25,3,20,5,{'random': 1},{'random': 1},0.75,0.05,0.16666666666666666,10.0,random,0.05385708808898926,
5,0.08333333333333333,27,0.25,3,20,5,{'random': 1},{'random': 1},0.75,0.05,0.16666666666666666,10.0,random,0.05385708808898926,
3,0.05,27,0.25,3,20,5,{'random': 1},{'random': 1},0.75,0.05,0.16666666666666666,10.0,random,0.05385708808898926,
4,0.06666666666666667,27,0.25,3,20,5,{'random': 1},{'random': 1},0.75,0.05,0.16666666666666666,10.0,random,0.05385708808898926,
3,0.05,54,0.25,3,20,5,{'random': 1},{'random': 1},1.5,0.1,0.16666666666666666,10.0,random,0.08979082107543945,
5,0.08333333333333333,54,0.25,3,20,5,{'random': 1},{'random': 1},1.5,0.1,0.16666666666666666,10.0,random,0.08979082107543945,
4,0.06666666666666667,54,0.25,3,20,5,{'random': 1},{'random': 1},1.5,0.1,0.16666666666666666,10.0,random,0.08979082107543945,
3,0.05,54,0.25,3,20,5,{'random': 1},{'random': 1},1.5,0.1,0.16666666666666666,10.0,random,0.08979082107543945,
2,0.03333333333333333,81,0.25,3,20,5,{'random': 1},{'random': 1},2.2500000000000004,0.15000000000000002,0.16666666666666666,10.0,random,0.13161659240722656,
5,0.08333333333333333,81,0.25,3,20,5,{'random': 1},{'random': 1},2.2500000000000004,0.15000000000000002,0.16666666666666666,10.0,random,0.13161659240722656,
7,0.11666666666666667,81,0.25,3,20,5,{'random': 1},{'random': 1},2.2500000000000004,0.15000000000000002,0.16666666666666666,10.0,random,0.13161659240722656,
2,0.03333333333333333,81,0.25,3,20,5,{'random': 1},{'random': 1},2.2500000000000004,0.15000000000000002,0.16666666666666666,10.0,random,0.13161659240722656,
4,0.06666666666666667,108,0.25,3,20,5,{'random': 1},{'random': 1},3.0,0.2,0.16666666666666666,10.0,random,0.15758180618286133,
4,0.06666666666666667,108,0.25,3,20,5,{'random': 1},{'random': 1},3.0,0.2,0.16666666666666666,10.0,random,0.15758180618286133,
4,0.06666666666666667,108,0.25,3,20,5,{'random': 1},{'random': 1},3.0,0.2,0.16666666666666666,10.0,random,0.15758180618286133,
4,0.06666666666666667,108,0.25,3,20,5,{'random': 1},{'random': 1},3.0,0.2,0.16666666666666666,10.0,random,0.15758180618286133,
5,0.08333333333333333,135,0.25,3,20,5,{'random': 1},{'random': 1},3.75,0.25,0.16666666666666666,10.0,random,0.19601130485534668,
7,0.11666666666666667,135,0.25,3,20,5,{'random': 1},{'random': 1},3.75,0.25,0.16666666666666666,10.0,random,0.19601130485534668,
4,0.06666666666666667,135,0.25,3,20,5,{'random': 1},{'random': 1},3.75,0.25,0.16666666666666666,10.0,random,0.19601130485534668,
6,0.1,135,0.25,3,20,5,{'random': 1},{'random': 1},3.75,0.25,0.16666666666666666,10.0,random,0.19601130485534668,
3,0.05,162,0.25,3,20,5,{'random': 1},{'random': 1},4.500000000000001,0.30000000000000004,0.16666666666666666,10.0,random,0.21444010734558105,
3,0.05,162,0.25,3,20,5,{'random': 1},{'random': 1},4.500000000000001,0.30000000000000004,0.16666666666666666,10.0,random,0.21444010734558105,
1,0.016666666666666666,162,0.25,3,20,5,{'random': 1},{'random': 1},4.500000000000001,0.30000000000000004,0.16666666666666666,10.0,random,0.21444010734558105,
3,0.05,162,0.25,3,20,5,{'random': 1},{'random': 1},4.500000000000001,0.30000000000000004,0.16666666666666666,10.0,random,0.21444010734558105,
4,0.06666666666666667,189,0.25,3,20,5,{'random': 1},{'random': 1},5.250000000000001,0.35000000000000003,0.16666666666666666,10.0,random,0.24132132530212402,
3,0.05,189,0.25,3,20,5,{'random': 1},{'random': 1},5.250000000000001,0.35000000000000003,0.16666666666666666,10.0,random,0.24132132530212402,
1,0.016666666666666666,189,0.25,3,20,5,{'random': 1},{'random': 1},5.250000000000001,0.35000000000000003,0.16666666666666666,10.0,random,0.24132132530212402,
2,0.03333333333333333,189,0.25,3,20,5,{'random': 1},{'random': 1},5.250000000000001,0.35000000000000003,0.16666666666666666,10.0,random,0.24132132530212402,
4,0.06666666666666667,216,0.25,3,20,5,{'random': 1},{'random': 1},6.0,0.4,0.16666666666666666,10.0,random,0.3042278289794922,
2,0.03333333333333333,216,0.25,3,20,5,{'random': 1},{'random': 1},6.0,0.4,0.16666666666666666,10.0,random,0.3042278289794922,
2,0.03333333333333333,216,0.25,3,20,5,{'random': 1},{'random': 1},6.0,0.4,0.16666666666666666,10.0,random,0.3042278289794922,
2,0.03333333333333333,216,0.25,3,20,5,{'random': 1},{'random': 1},6.0,0.4,0.16666666666666666,10.0,random,0.3042278289794922,
1,0.016666666666666666,243,0.25,3,20,5,{'random': 1},{'random': 1},6.75,0.45,0.16666666666666666,10.0,random,0.302213191986084,
2,0.03333333333333333,243,0.25,3,20,5,{'random': 1},{'random': 1},6.75,0.45,0.16666666666666666,10.0,random,0.302213191986084,
6,0.1,243,0.25,3,20,5,{'random': 1},{'random': 1},6.75,0.45,0.16666666666666666,10.0,random,0.302213191986084,
2,0.03333333333333333,243,0.25,3,20,5,{'random': 1},{'random': 1},6.75,0.45,0.16666666666666666,10.0,random,0.302213191986084,
3,0.05,270,0.25,3,20,5,{'random': 1},{'random': 1},7.5,0.5,0.16666666666666666,10.0,random,0.3320960998535156,
4,0.06666666666666667,270,0.25,3,20,5,{'random': 1},{'random': 1},7.5,0.5,0.16666666666666666,10.0,random,0.3320960998535156,
1,0.016666666666666666,270,0.25,3,20,5,{'random': 1},{'random': 1},7.5,0.5,0.16666666666666666,10.0,random,0.3320960998535156,
1,0.016666666666666666,270,0.25,3,20,5,{'random': 1},{'random': 1},7.5,0.5,0.16666666666666666,10.0,random,0.3320960998535156,
1,0.016666666666666666,297,0.25,3,20,5,{'random': 1},{'random': 1},8.25,0.55,0.16666666666666666,10.0,random,0.34958505630493164,
5,0.08333333333333333,297,0.25,3,20,5,{'random': 1},{'random': 1},8.25,0.55,0.16666666666666666,10.0,random,0.34958505630493164,
3,0.05,297,0.25,3,20,5,{'random': 1},{'random': 1},8.25,0.55,0.16666666666666666,10.0,random,0.34958505630493164,
